Name	Name	PrimPrimEnd2	PrimPrimEnd1	PrimPrimAny
12288	12907	-1.11	-1.29	-4.34
12288	19056	-1.49	-1.49	-4.95
12288	12913	-1.11	-1.29	-4.34
12288	19058	-1.49	-1.49	-4.95
12288	19059	-1.49	-1.49	-4.95
12288	12916	-1.11	-3.86	-4.16
12288	19066	-1.49	-1.49	-5.33
12288	19073	0.00	-1.29	-5.10
12288	19075	-1.49	-1.49	-5.10
12288	19080	-1.49	-1.49	-5.10
12288	19084	-1.49	-1.49	-5.10
12288	19085	-1.49	-1.49	-5.10
12288	19088	0.00	-0.91	-5.10
12288	659	-1.11	-1.11	-4.39
12288	660	-1.11	-1.11	-4.39
12288	18201	0.00	-0.91	-4.39
12288	19097	0.00	-0.91	-5.79
12288	666	0.00	-1.05	-4.61
12288	2726	-1.79	-4.88	-4.88
12288	12970	0.00	-1.52	-5.10
12288	12975	0.00	-1.52	-5.10
12288	4784	-1.11	-1.91	-5.94
12288	4788	-1.11	-1.91	-5.68
12288	4795	-1.49	-1.91	-5.68
12288	4803	-0.88	-1.29	-5.68
12288	4809	0.00	-1.34	-5.68
12288	2766	0.00	-2.17	-3.55
12288	2767	0.00	-2.17	-3.55
12288	2768	-1.25	-2.17	-3.55
12288	19153	-3.44	-4.23	-4.23
12288	19154	-3.44	-4.23	-4.23
12288	2774	0.00	-1.58	-3.55
12288	2775	0.00	-1.58	-3.55
12288	13042	-1.49	-7.13	-7.13
12288	13043	-1.49	-7.13	-7.13
12288	13052	-3.20	-3.20	-3.86
12288	13053	-1.25	-1.29	-3.86
12288	13054	-1.25	-1.29	-3.86
12288	4878	0.00	-0.60	-5.19
12288	14125	0.00	-2.54	-5.20
12288	14688	-1.11	-2.92	-5.64
12288	4889	0.00	-0.97	-4.61
12288	4890	0.00	-0.97	-4.61
12288	4896	0.00	-0.97	-4.61
12288	4903	0.00	-0.97	-6.32
12288	4904	0.00	-0.97	-6.32
12288	18908	-3.44	-3.99	-5.89
12288	4911	-1.49	-1.49	-6.32
12288	4912	-1.49	-1.49	-6.32
12288	2866	-1.49	-1.49	-4.39
12288	2867	-3.44	-3.44	-4.39
12288	2868	-3.44	-3.44	-4.39
12288	2874	0.00	-4.73	-4.73
12288	2875	0.00	-4.73	-4.73
12288	4924	0.00	-2.92	-6.32
12288	4925	0.00	-2.92	-6.32
12288	4927	-1.11	-2.92	-4.65
12288	13120	-1.11	-1.25	-6.30
12288	13125	0.00	-1.25	-6.30
12288	4934	-0.61	-2.92	-4.19
12288	4937	-0.88	-2.92	-4.19
12288	4938	-0.88	-2.92	-4.19
12288	19277	0.00	-1.29	-4.56
12288	19280	-1.11	-1.29	-4.56
12288	18915	0.00	-3.99	-5.89
12288	4922	-1.49	-2.92	-6.32
12288	487	0.00	-2.59	-5.25
12288	13168	-3.07	-3.07	-4.24
12288	13169	-3.39	-3.39	-4.85
12288	13170	0.00	-2.21	-4.45
12288	1171	0.00	-0.97	-4.06
12288	12780	-1.11	-1.11	-4.61
12288	19358	0.00	-5.59	-5.59
12288	19360	-3.29	-5.59	-5.59
12288	19362	-1.49	-5.59	-5.59
12288	16807	0.00	-2.92	-3.61
12288	19371	-3.07	-3.43	-3.61
12288	5038	0.00	-1.29	-6.39
12288	5039	-1.25	-1.29	-5.40
12288	5040	-1.25	-1.29	-5.40
12288	13242	-1.49	-1.49	-5.69
12288	15291	0.00	-0.74	-5.64
12288	15292	-1.11	-1.11	-5.64
12288	15293	-1.11	-1.11	-5.64
12288	3007	0.00	-2.96	-3.59
12288	3008	0.00	-2.96	-3.59
12288	15297	-1.25	-1.25	-5.64
12288	3010	0.00	-2.96	-4.06
12288	3011	-1.49	-2.96	-4.06
12288	3012	-1.49	-2.96	-4.06
12288	3013	-3.44	-3.44	-4.06
12288	3014	-3.44	-3.44	-4.06
12288	11209	-1.49	-1.49	-3.61
12288	11210	-1.49	-1.49	-3.61
12288	15310	-1.11	-1.11	-5.24
12288	3026	0.00	-4.89	-6.35
12288	17381	-0.86	-1.29	-2.78
12288	17382	-0.86	-1.29	-2.78
12288	18257	0.00	-3.33	-6.48
12288	15343	0.00	-2.68	-4.77
12288	17392	-1.49	-5.06	-5.06
12288	17393	-1.49	-5.06	-5.06
12288	19442	-1.49	-2.92	-4.58
12288	15349	0.00	-2.68	-3.89
12288	15350	0.00	-2.68	-3.89
12288	19447	-1.11	-2.92	-4.77
12288	19449	-3.44	-3.44	-4.77
12288	19450	-1.49	-1.49	-4.77
12288	19451	-1.49	-1.49	-4.77
12288	11260	-1.49	-4.35	-4.35
12288	11261	-1.49	-4.35	-4.35
12288	11265	-1.11	-4.35	-5.68
12288	15363	0.00	-2.92	-3.88
12288	15364	0.00	-2.92	-3.88
12288	13321	0.00	-4.11	-4.11
12288	13322	0.00	-4.11	-4.11
12288	13325	-1.49	-4.11	-4.11
12288	13326	-1.77	-4.11	-4.11
12288	13327	-1.77	-4.11	-4.11
12288	1042	-3.24	-4.23	-4.96
12288	3092	0.00	-1.29	-4.75
12288	3093	0.00	-1.29	-4.75
12288	1049	-1.25	-5.33	-5.33
12288	1050	-1.25	-5.33	-5.33
12288	1052	0.00	-5.33	-5.33
12288	1053	0.00	-5.33	-5.33
12288	13343	-1.11	-2.02	-5.68
12288	1063	0.00	-2.54	-4.65
12288	15400	0.00	-3.73	-3.89
12288	1066	-1.49	-2.54	-4.65
12288	15404	-1.49	-3.73	-3.89
12288	15405	-1.49	-3.73	-3.89
12288	1072	0.00	-2.54	-4.33
12288	1073	0.00	-2.54	-4.33
12288	1075	0.00	-2.54	-4.17
12288	1076	0.00	-2.54	-4.17
12288	1081	-3.44	-3.44	-3.55
12288	1082	-3.44	-3.44	-3.55
12288	1086	-1.11	-5.96	-5.96
12288	1089	-1.11	-5.96	-5.96
12288	1090	-1.11	-5.96	-5.96
12288	1091	-3.07	-5.96	-5.96
12288	1092	-3.07	-5.96	-5.96
12288	7237	0.00	-1.52	-5.84
12288	7239	-1.11	-1.52	-4.24
12288	7243	0.00	-1.52	-4.24
12288	7244	0.00	-1.52	-4.24
12288	7245	0.00	-1.52	-4.24
12288	7251	-1.32	-1.52	-4.24
12288	7252	-1.32	-1.52	-4.24
12288	5208	-0.69	-3.99	-3.99
12288	7257	0.00	-1.52	-2.94
12288	7258	0.00	-1.52	-4.48
12288	7259	-1.25	-1.52	-3.49
