Name	Name	PrimPrimEnd2	PrimPrimEnd1	PrimPrimAny
11265	3427	-3.37	-3.54	-6.04
11265	11624	-1.19	-4.77	-6.04
11265	3434	0.00	-3.70	-6.04
11265	13171	-1.21	-1.21	-4.33
11265	2422	-1.19	-3.85	-8.99
11265	1399	0.00	-2.96	-3.02
11265	384	-1.19	-5.32	-5.32
11265	14419	-1.21	-3.04	-7.76
11265	387	0.00	-5.32	-5.47
11265	8582	0.00	-1.97	-5.61
11265	12169	-1.11	-3.06	-7.66
11265	12170	-1.30	-3.06	-7.96
11265	16780	-1.84	-3.04	-4.35
11265	12173	-2.73	-3.06	-8.70
11265	18319	0.00	-3.62	-4.68
11265	4497	-1.21	-1.99	-4.16
11265	12178	-2.85	-3.04	-8.70
11265	15939	-1.19	-3.06	-4.74
11265	404	-1.19	-3.06	-5.47
11265	12184	-1.19	-3.04	-8.70
11265	16795	0.00	-0.58	-4.81
11265	4508	-1.19	-1.19	-4.16
11265	19358	-1.19	-3.04	-4.19
11265	19360	-1.19	-3.04	-3.90
11265	16802	0.00	-2.30	-4.81
11265	12289	-2.85	-3.04	-5.68
11265	16806	-1.19	-2.30	-4.81
11265	17393	0.00	-3.70	-4.84
11265	11688	-1.19	-1.99	-4.32
11265	4523	0.00	-0.88	-4.92
11265	16300	0.00	-1.89	-4.43
11265	16302	-1.11	-1.11	-4.43
11265	19375	-1.19	-1.97	-4.06
11265	4529	-1.19	-1.19	-4.92
11265	3507	-1.19	-1.97	-4.19
11265	16308	0.00	-2.96	-4.43
11265	4535	0.00	-1.97	-4.92
11265	4536	0.00	-1.97	-4.92
11265	15293	-2.45	-3.04	-4.36
11265	15297	0.00	-3.04	-8.12
11265	3010	-1.21	-1.99	-2.78
11265	3013	0.00	-1.99	-3.91
11265	2504	0.00	-1.97	-4.10
11265	19447	0.00	-3.31	-5.68
11265	12239	0.00	-1.99	-2.93
11265	14288	-1.21	-3.62	-5.30
11265	14290	-2.08	-3.62	-5.30
11265	3539	-1.19	-5.34	-8.32
11265	12758	0.00	-1.99	-5.06
